date,region,channel,category,sales,profit,customers,satisfaction
2026-01-01,华东,线上,电子产品,125000,24500,342,4.5
2026-01-01,华南,门店,家居,87000,14200,221,4.1
2026-01-01,华北,线上,服饰,68000,10200,305,4.3
2026-02-01,华东,门店,家居,92000,15500,238,4.2
2026-02-01,华南,线上,电子产品,138000,27600,381,4.6
2026-02-01,华北,门店,服饰,59000,7600,194,3.9
2026-03-01,华东,线上,服饰,76000,12800,329,4.4
2026-03-01,华南,门店,家居,91000,16100,230,4.2
2026-03-01,华北,线上,电子产品,119000,21300,354,4.3
2026-04-01,华东,门店,电子产品,132000,23800,298,4.4
2026-04-01,华南,线上,服饰,81000,13900,337,4.5
2026-04-01,华北,门店,家居,73000,11500,207,4.0
2026-05-01,华东,线上,家居,104000,18600,365,4.6
2026-05-01,华南,门店,电子产品,127000,22100,277,4.3
2026-05-01,华北,线上,服饰,74000,11900,318,4.2
2026-06-01,华东,门店,服饰,79000,12600,226,4.1
2026-06-01,华南,线上,家居,112000,20500,372,4.6
2026-06-01,华北,门店,电子产品,115000,19400,259,4.2
2026-07-01,华东,线上,电子产品,149000,30100,411,4.7
2026-07-01,华南,门店,服饰,84000,13400,241,4.2
2026-07-01,华北,线上,家居,99000,16700,348,4.4
2026-08-01,华东,门店,家居,101000,17200,251,4.3
2026-08-01,华南,线上,电子产品,155000,31800,428,4.8
2026-08-01,华北,门店,服饰,66000,9800,213,4.0

